Country,City,Company,Sector,Sponsorship_Confirmed,Visa_Pathway,Approx_TC_Senior,Careers_URL,Notes,Last_Verified
Germany,Berlin,Zalando,E-commerce,Yes,EU Blue Card,€90k–€140k,https://jobs.zalando.com/en/jobs/,Largest tech employer in Berlin; ML/Platform/Logistics/Frontend orgs,2026-01
Germany,Berlin,N26,Fintech,Yes,EU Blue Card,€85k–€130k,https://n26.com/en-eu/careers,Mobile-first bank; payments/security/risk/infra,2026-01
Germany,Berlin,Delivery Hero,Marketplaces,Yes,EU Blue Card,€80k–€130k,https://careers.deliveryhero.com/,Operates in 70+ countries; one of the largest tech employers in DE,2026-01
Germany,Berlin,HelloFresh,Marketplaces,Yes,EU Blue Card,€80k–€125k,https://careers.hellofresh.com/global/en/germany,Data-heavy supply chain & consumer apps,2026-01
Germany,Berlin,SoundCloud,Audio,Yes,EU Blue Card,€80k–€125k,https://soundcloud.com/jobs,Audio streaming with 300M+ tracks,2026-01
Germany,Berlin,Contentful,SaaS,Yes,EU Blue Card,€85k–€135k,https://www.contentful.com/careers/,Headless CMS used by 30% of Fortune 500,2026-01
Germany,Berlin,Miro,Productivity,Yes,EU Blue Card,€85k–€135k,https://miro.com/careers/,Visual collaboration; 60M+ users,2026-01
Germany,Berlin,Trade Republic,Fintech,Yes,EU Blue Card,€90k–€140k,https://traderepublic.com/careers,Mobile broker; rapid scaling,2026-01
Germany,Berlin,Babbel,Education,Yes,EU Blue Card,€75k–€115k,https://careers.babbel.com/,Language learning,2026-01
Germany,Berlin,GetYourGuide,Travel,Yes,EU Blue Card,€80k–€125k,https://careers.getyourguide.com/,Travel experiences platform,2026-01
Germany,Munich,Personio,HR Tech,Yes,EU Blue Card,€90k–€140k,https://www.personio.com/about-personio/careers/,One of DE's most valuable startups (~$8.5B),2026-01
Germany,Munich,Celonis,Process Mining,Yes,EU Blue Card,€95k–€150k,https://www.celonis.com/careers/,Decacorn process mining,2026-01
Germany,Munich,NavVis,3D Mapping,Yes,EU Blue Card,€85k–€135k,https://www.navvis.com/company/careers,Indoor spatial intelligence; computer vision,2026-01
Germany,Munich,Konux,IoT,Yes,EU Blue Card,€80k–€130k,https://www.konux.com/careers/,Industrial IoT for railways,2026-01
Germany,Munich,BMW Group,Automotive,Yes,EU Blue Card,€85k–€145k,https://www.bmwgroup.jobs/de/en.html,Software roles in autonomous driving and connected car,2026-01
Germany,Munich,Siemens,Industrial,Yes,EU Blue Card,€85k–€140k,https://jobs.siemens.com/careers,IoT/cloud/industrial automation,2026-01
Germany,Walldorf,SAP,Enterprise Software,Yes,EU Blue Card,€85k–€140k,https://jobs.sap.com/,Largest tech company in Germany; 100k+ employees,2026-01
Germany,Hamburg,ABOUT YOU,E-commerce,Yes,EU Blue Card,€80k–€125k,https://corporate.aboutyou.de/en/career,Fashion e-commerce + B2B tech,2026-01
Germany,Hamburg,awork,SaaS,Yes,EU Blue Card,€75k–€115k,https://www.awork.com/jobs/,Work management for agencies and teams,2026-01
Netherlands,Amsterdam,Booking.com,Travel,Yes,Kennismigrant + 30% ruling,€80k–€135k,https://jobs.booking.com/,World's largest travel platform; 1k+ engineers,2026-01
